City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Acapulco,MX,16.86,-99.89,82.4,83,5,4.7,clear sky
232,Kavaratti,IN,10.57,72.64,82.26,72,0,5.1,clear sky
233,Lahaina,US,20.88,-156.68,89.6,66,40,17.22,scattered clouds
234,Yerbogachen,RU,61.28,108.01,19.13,96,99,8.77,overcast clouds
235,Meulaboh,ID,4.14,96.13,77.41,87,100,3.38,overcast clouds
236,El Porvenir,HN,13.76,-87.35,66.2,100,90,6.93,overcast clouds
237,Rio Gallegos,AR,-51.62,-69.22,44.6,93,90,9.17,overcast clouds
238,Mana,GF,5.66,-53.78,79.56,87,85,9.64,overcast clouds
239,Ferkessedougou,CI,9.6,-5.2,76.55,60,97,3.91,overcast clouds
240,Sovetskiy,RU,61.36,63.58,34.0,88,67,11.74,broken clouds
241,Macau,MO,22.2,113.55,75.2,69,20,11.41,few clouds
242,Lodja,CD,-3.48,23.43,69.49,97,90,1.68,moderate rain
243,Wanaka,NZ,-44.7,169.15,67.82,61,74,7.23,broken clouds
244,Byron Bay,AU,-28.65,153.62,80.01,56,0,12.75,clear sky
245,Verkhnyaya Inta,RU,65.98,60.31,38.01,97,100,22.82,light rain
246,Quatre Cocos,MU,-20.21,57.76,68.0,88,75,4.7,shower rain
247,Russell,US,32.35,-85.2,53.6,81,1,2.86,clear sky
248,Shingu,JP,33.73,135.98,57.2,47,20,12.75,few clouds
249,Tuatapere,NZ,-46.13,167.68,68.4,49,0,3.56,clear sky
250,Kiunga,PG,-6.12,141.29,74.97,97,100,2.06,moderate rain
251,Sinnamary,GF,5.38,-52.95,79.47,87,97,9.6,overcast clouds
252,Wilmington,US,34.23,-77.94,48.2,76,1,2.24,clear sky
253,Tasiilaq,GL,65.61,-37.64,33.8,86,100,35.57,light rain
254,Khani,GE,41.96,42.96,62.6,72,0,20.8,clear sky
255,Dukat,RU,62.55,155.55,13.71,96,100,6.22,light snow
256,Charlestown,AU,-32.95,151.67,82.0,53,0,16.11,clear sky
