City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Farafangana,MG,2020-11-02 02:05:49,-22.82,47.83,70.03,77,99,3.83
277,Vardo,NO,2020-11-02 02:05:43,70.37,31.11,45.27,82,98,29.28
278,Mananara,MG,2020-11-02 02:01:01,-16.17,49.77,66.06,74,69,4.09
279,Port Elizabeth,ZA,2020-11-02 02:05:50,-33.92,25.57,64.4,88,40,11.41
280,Timbiqui,CO,2020-11-02 02:05:50,2.77,-77.67,76.48,90,100,3.83
281,Anadyr,RU,2020-11-02 02:05:50,64.75,177.48,15.8,78,75,4.47
282,Half Moon Bay,US,2020-11-02 02:05:50,37.46,-122.43,66.2,87,1,8.05
283,Aguimes,ES,2020-11-02 02:05:51,27.91,-15.45,72.0,77,20,20.8
284,Wasilla,US,2020-11-02 02:05:51,61.58,-149.44,21.2,41,1,20.8
285,Clyde River,CA,2020-11-02 02:04:39,70.47,-68.59,12.2,78,75,8.05
286,Santana,BR,2020-11-02 02:05:51,-0.06,-51.18,84.2,83,0,6.93
287,Taoudenni,ML,2020-11-02 02:01:17,22.68,-3.98,76.37,19,100,15.32
288,Hasaki,JP,2020-11-02 02:01:51,35.73,140.83,68.0,82,75,12.75
289,Bathsheba,BB,2020-11-02 02:05:52,13.22,-59.52,82.4,78,40,21.92
290,Mokhsogollokh,RU,2020-11-02 02:05:52,61.47,128.92,-2.9,89,35,1.95
291,Ketchikan,US,2020-11-02 02:05:52,55.34,-131.65,51.8,100,90,40.26
292,Havelock,US,2020-11-02 02:01:37,34.88,-76.9,61.0,82,1,12.75
293,Kathu,TH,2020-11-02 02:05:52,7.92,98.33,80.6,88,40,4.7
294,Jaisalmer,IN,2020-11-02 02:05:53,26.91,70.92,69.26,22,0,3.2
295,Ambon,ID,2020-11-02 02:05:53,-3.7,128.18,84.36,71,99,8.93
296,Nchelenge,ZM,2020-11-02 02:05:53,-9.35,28.73,71.6,65,29,5.39
297,Kruisfontein,ZA,2020-11-02 02:05:53,-34.0,24.73,64.0,82,20,3.0
298,Hambantota,LK,2020-11-02 02:05:53,6.12,81.12,80.46,77,100,4.38
299,Ndioum,SN,2020-11-02 02:05:54,16.51,-14.65,85.71,14,100,9.93
300,Quelimane,MZ,2020-11-02 02:05:54,-17.88,36.89,68.05,92,0,0.72
301,Dabhol,IN,2020-11-02 02:05:54,17.6,73.17,75.81,76,28,3.36
302,Beaufort,MY,2020-11-02 02:05:50,5.35,115.75,84.2,74,20,8.05
